省市別,縣市別,選區別,鄉鎮市區,村里別,投開票所,候選人號次,得票數,得票率,當選註記
63,000,01,020,0011,1348,2,338,41.42, 
63,000,01,020,0011,1348,3,449,55.02,*
63,000,01,020,0011,1349,1,37,4.26, 
63,000,01,020,0011,1349,2,346,39.86, 
63,000,01,020,0011,1349,3,485,55.88,*
63,000,01,020,0011,1350,1,37,4.37, 
63,000,01,020,0011,1350,2,355,41.96, 
63,000,01,020,0011,1350,3,454,53.66,*
63,000,01,020,0011,1351,1,33,4.4, 
63,000,01,020,0011,1351,2,296,39.47, 
63,000,01,020,0011,1351,3,421,56.13,*
63,000,01,020,0012,1352,1,26,3.14, 
63,000,01,020,0012,1352,2,338,40.87, 
63,000,01,020,0012,1352,3,463,55.99,*
63,000,01,020,0012,1353,1,32,4.35, 
63,000,01,020,0012,1353,2,303,41.17, 
63,000,01,020,0012,1353,3,401,54.48,*
63,000,01,020,0012,1354,1,27,3.37, 
63,000,01,020,0012,1354,2,374,46.63, 
63,000,01,020,0012,1354,3,401,50.0,*
63,000,01,020,0013,1355,1,32,4.25, 
63,000,01,020,0013,1355,2,309,41.04, 
63,000,01,020,0013,1355,3,412,54.71,*
63,000,01,020,0013,1356,1,27,3.2, 
63,000,01,020,0013,1356,2,312,37.01, 
63,000,01,020,0013,1356,3,504,59.79,*
63,000,01,020,0013,1357,1,41,5.09, 
63,000,01,020,0013,1357,2,296,36.77, 
63,000,01,020,0013,1357,3,468,58.14,*
63,000,01,020,0013,1358,1,27,3.14, 
63,000,01,020,0013,1358,2,315,36.67, 
63,000,01,020,0013,1358,3,517,60.19,*
63,000,01,020,0014,1359,1,22,2.63, 
63,000,01,020,0014,1359,2,294,35.08, 
63,000,01,020,0014,1359,3,522,62.29,*
63,000,01,020,0014,1360,1,20,2.57, 
63,000,01,020,0014,1360,2,231,29.73, 
63,000,01,020,0014,1360,3,526,67.7,*
63,000,01,020,0014,1361,1,31,3.23, 
63,000,01,020,0014,1361,2,280,29.17, 
63,000,01,020,0014,1361,3,649,67.6,*
63,000,01,020,0015,1362,1,41,4.33, 
63,000,01,020,0015,1362,2,364,38.44, 
63,000,01,020,0015,1362,3,542,57.23,*
63,000,01,020,0015,1363,1,35,3.88, 
63,000,01,020,0015,1363,2,411,45.57, 
63,000,01,020,0015,1363,3,456,50.55,*
63,000,01,020,0015,1364,1,36,3.64, 
63,000,01,020,0015,1364,2,349,35.29, 
63,000,01,020,0015,1364,3,604,61.07,*
63,000,01,020,0016,1365,1,34,3.69, 
63,000,01,020,0016,1365,2,309,33.51, 
63,000,01,020,0016,1365,3,579,62.8,*
63,000,01,020,0016,1366,1,35,3.69, 
63,000,01,020,0016,1366,2,390,41.1, 
63,000,01,020,0016,1366,3,524,55.22,*
